year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows
1998,Argentina,ARG,quarter-finals,Fjelstul qualified_teams.csv,1,1990,1990;1994
1998,Austria,AUT,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Belgium,BEL,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Brazil,BRA,final,Fjelstul qualified_teams.csv,1,1990;1994,1990;1994
1998,Bulgaria,BGR,group stage,Fjelstul qualified_teams.csv,1,1994,1990;1994
1998,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Chile,CHL,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Colombia,COL,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Croatia,HRV,third-place match,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Denmark,DNK,quarter-finals,Fjelstul qualified_teams.csv,0,,1990;1994
1998,England,ENG,round of 16,Fjelstul qualified_teams.csv,1,1990,1990;1994
1998,France,FRA,final,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Germany,DEU,quarter-finals,Fjelstul qualified_teams.csv,1,1990,1990;1994
1998,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Italy,ITA,quarter-finals,Fjelstul qualified_teams.csv,1,1990;1994,1990;1994
1998,Jamaica,JAM,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Japan,JPN,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Morocco,MAR,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Netherlands,NLD,third-place match,Fjelstul qualified_teams.csv,1,1990;1994,1990;1994
1998,Nigeria,NGA,round of 16,Fjelstul qualified_teams.csv,1,1994,1990;1994
1998,Norway,NOR,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Paraguay,PRY,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Romania,ROU,round of 16,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Scotland,SCO,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,South Africa,ZAF,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,Spain,ESP,group stage,Fjelstul qualified_teams.csv,1,1994,1990;1994
1998,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,1990;1994
1998,USA,USA,group stage,Fjelstul qualified_teams.csv,1,1994,1990;1994
1998,Yugoslavia,YUG,round of 16,Fjelstul qualified_teams.csv,1,1990,1990;1994
2002,Argentina,ARG,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Belgium,BEL,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Brazil,BRA,final,Fjelstul qualified_teams.csv,1,1994;1998,1994;1998
2002,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,China,CHN,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Croatia,HRV,group stage,Fjelstul qualified_teams.csv,1,1998,1994;1998
2002,Denmark,DNK,round of 16,Fjelstul qualified_teams.csv,1,1998,1994;1998
2002,Ecuador,ECU,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,England,ENG,quarter-finals,Fjelstul qualified_teams.csv,0,,1994;1998
2002,France,FRA,group stage,Fjelstul qualified_teams.csv,1,1998,1994;1998
2002,Germany,DEU,final,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Italy,ITA,round of 16,Fjelstul qualified_teams.csv,1,1994;1998,1994;1998
2002,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Nigeria,NGA,group stage,Fjelstul qualified_teams.csv,1,1994,1994;1998
2002,Paraguay,PRY,round of 16,Fjelstul qualified_teams.csv,1,1998,1994;1998
2002,Poland,POL,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Portugal,PRT,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Republic of Ireland,IRL,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Russia,RUS,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Senegal,SEN,quarter-finals,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Slovenia,SVN,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,South Africa,ZAF,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,South Korea,KOR,third-place match,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Spain,ESP,quarter-finals,Fjelstul qualified_teams.csv,1,1994,1994;1998
2002,Sweden,SWE,round of 16,Fjelstul qualified_teams.csv,1,1994,1994;1998
2002,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2002,Turkey,TUR,third-place match,Fjelstul qualified_teams.csv,0,,1994;1998
2002,USA,USA,quarter-finals,Fjelstul qualified_teams.csv,1,1994,1994;1998
2002,Uruguay,URY,group stage,Fjelstul qualified_teams.csv,0,,1994;1998
2006,Angola,AGO,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Argentina,ARG,quarter-finals,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Australia,AUS,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,1998;2002,1998;2002
2006,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Croatia,HRV,group stage,Fjelstul qualified_teams.csv,1,1998,1998;2002
2006,Czech Republic,CZE,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Ecuador,ECU,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,England,ENG,quarter-finals,Fjelstul qualified_teams.csv,1,2002,1998;2002
2006,France,FRA,final,Fjelstul qualified_teams.csv,1,1998,1998;2002
2006,Germany,DEU,third-place match,Fjelstul qualified_teams.csv,1,2002,1998;2002
2006,Ghana,GHA,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Italy,ITA,final,Fjelstul qualified_teams.csv,1,1998,1998;2002
2006,Ivory Coast,CIV,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Japan,JPN,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Netherlands,NLD,round of 16,Fjelstul qualified_teams.csv,1,1998,1998;2002
2006,Paraguay,PRY,group stage,Fjelstul qualified_teams.csv,1,1998;2002,1998;2002
2006,Poland,POL,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Portugal,PRT,third-place match,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Serbia and Montenegro,SCG,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,1,2002,1998;2002
2006,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Sweden,SWE,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Togo,TGO,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Trinidad and Tobago,TTO,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,1998;2002
2006,Ukraine,UKR,quarter-finals,Fjelstul qualified_teams.csv,0,,1998;2002
2006,USA,USA,group stage,Fjelstul qualified_teams.csv,1,2002,1998;2002
2010,Algeria,DZA,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Argentina,ARG,quarter-finals,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Australia,AUS,group stage,Fjelstul qualified_teams.csv,1,2006,2002;2006
2010,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,2002;2006,2002;2006
2010,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Chile,CHL,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Denmark,DNK,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,England,ENG,round of 16,Fjelstul qualified_teams.csv,1,2002,2002;2006
2010,France,FRA,group stage,Fjelstul qualified_teams.csv,1,2006,2002;2006
2010,Germany,DEU,third-place match,Fjelstul qualified_teams.csv,1,2002;2006,2002;2006
2010,Ghana,GHA,quarter-finals,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Greece,GRC,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Honduras,HND,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Italy,ITA,group stage,Fjelstul qualified_teams.csv,1,2006,2002;2006
2010,Ivory Coast,CIV,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Netherlands,NLD,final,Fjelstul qualified_teams.csv,0,,2002;2006
2010,New Zealand,NZL,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Nigeria,NGA,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,North Korea,PRK,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Paraguay,PRY,quarter-finals,Fjelstul qualified_teams.csv,1,2002,2002;2006
2010,Portugal,PRT,round of 16,Fjelstul qualified_teams.csv,1,2006,2002;2006
2010,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Slovakia,SVK,round of 16,Fjelstul qualified_teams.csv,0,,2002;2006
2010,Slovenia,SVN,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,South Africa,ZAF,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,South Korea,KOR,round of 16,Fjelstul qualified_teams.csv,1,2002,2002;2006
2010,Spain,ESP,final,Fjelstul qualified_teams.csv,1,2006,2002;2006
2010,Switzerland,CHE,group stage,Fjelstul qualified_teams.csv,0,,2002;2006
2010,USA,USA,round of 16,Fjelstul qualified_teams.csv,1,2002,2002;2006
2010,Uruguay,URY,third-place match,Fjelstul qualified_teams.csv,0,,2002;2006
2014,Algeria,DZA,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Argentina,ARG,final,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Australia,AUS,group stage,Fjelstul qualified_teams.csv,1,2006,2006;2010
2014,Belgium,BEL,quarter-finals,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Bosnia and Herzegovina,BIH,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Brazil,BRA,third-place match,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010
2014,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Chile,CHL,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Colombia,COL,quarter-finals,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Costa Rica,CRI,quarter-finals,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Croatia,HRV,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Ecuador,ECU,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,England,ENG,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,France,FRA,quarter-finals,Fjelstul qualified_teams.csv,1,2006,2006;2010
2014,Germany,DEU,final,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010
2014,Ghana,GHA,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Greece,GRC,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Honduras,HND,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Italy,ITA,group stage,Fjelstul qualified_teams.csv,1,2006,2006;2010
2014,Ivory Coast,CIV,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Japan,JPN,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Netherlands,NLD,third-place match,Fjelstul qualified_teams.csv,1,2010,2006;2010
2014,Nigeria,NGA,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Portugal,PRT,group stage,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010
2014,Russia,RUS,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Spain,ESP,group stage,Fjelstul qualified_teams.csv,1,2006;2010,2006;2010
2014,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,USA,USA,round of 16,Fjelstul qualified_teams.csv,0,,2006;2010
2014,Uruguay,URY,round of 16,Fjelstul qualified_teams.csv,1,2010,2006;2010
2018,Argentina,ARG,round of 16,Fjelstul qualified_teams.csv,1,2014,2010;2014
2018,Australia,AUS,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Belgium,BEL,third-place match,Fjelstul qualified_teams.csv,1,2014,2010;2014
2018,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,2010;2014,2010;2014
2018,Colombia,COL,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Croatia,HRV,final,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Denmark,DNK,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Egypt,EGY,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,England,ENG,third-place match,Fjelstul qualified_teams.csv,0,,2010;2014
2018,France,FRA,final,Fjelstul qualified_teams.csv,1,2014,2010;2014
2018,Germany,DEU,group stage,Fjelstul qualified_teams.csv,1,2010;2014,2010;2014
2018,Iceland,ISL,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Morocco,MAR,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Nigeria,NGA,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Panama,PAN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Peru,PER,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Poland,POL,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Portugal,PRT,round of 16,Fjelstul qualified_teams.csv,1,2010,2010;2014
2018,Russia,RUS,quarter-finals,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Senegal,SEN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,1,2010,2010;2014
2018,Sweden,SWE,quarter-finals,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,1,2014,2010;2014
2018,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,2010;2014
2018,Uruguay,URY,quarter-finals,Fjelstul qualified_teams.csv,1,2010,2010;2014
2022,Argentina,ARG,final,Fjelstul qualified_teams.csv,1,2014;2018,2014;2018
2022,Australia,AUS,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Belgium,BEL,group stage,Fjelstul qualified_teams.csv,1,2014;2018,2014;2018
2022,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Cameroon,CMR,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Canada,CAN,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Croatia,HRV,third-place match,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,Denmark,DNK,group stage,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,Ecuador,ECU,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,England,ENG,quarter-finals,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,France,FRA,final,Fjelstul qualified_teams.csv,1,2014;2018,2014;2018
2022,Germany,DEU,group stage,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Ghana,GHA,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Japan,JPN,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Mexico,MEX,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Morocco,MAR,third-place match,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Netherlands,NLD,quarter-finals,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Poland,POL,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Portugal,PRT,quarter-finals,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Qatar,QAT,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Senegal,SEN,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Serbia,SRB,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,South Korea,KOR,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,1,2014,2014;2018
2022,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2022,USA,USA,round of 16,Fjelstul qualified_teams.csv,0,,2014;2018
2022,Uruguay,URY,group stage,Fjelstul qualified_teams.csv,1,2018,2014;2018
2022,Wales,WAL,group stage,Fjelstul qualified_teams.csv,0,,2014;2018
2026,USA,USA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Canada,CAN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Mexico,MEX,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Japan,JPN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,New Zealand,NZL,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Iran,IRN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Argentina,ARG,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022
2026,Uzbekistan,UZB,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Jordan,JOR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,South Korea,KOR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Australia,AUS,not yet known,FIFA API teamsqualified/season/285023,1,2022,2018;2022
2026,Brazil,BRA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Ecuador,ECU,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Colombia,COL,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Paraguay,PAR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Uruguay,URU,not yet known,FIFA API teamsqualified/season/285023,1,2018,2018;2022
2026,Morocco,MAR,not yet known,FIFA API teamsqualified/season/285023,1,2022,2018;2022
2026,Tunisia,TUN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Egypt,EGY,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Algeria,ALG,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Ghana,GHA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Cabo Verde,CPV,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,South Africa,RSA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Qatar,QAT,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,England,ENG,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022
2026,Saudi Arabia,KSA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Ivory Coast,CIV,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Senegal,SEN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,France,FRA,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022
2026,Croatia,CRO,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022
2026,Portugal,POR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Norway,NOR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Germany,GER,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Netherlands,NED,not yet known,FIFA API teamsqualified/season/285023,1,2022,2018;2022
2026,Belgium,BEL,not yet known,FIFA API teamsqualified/season/285023,1,2018,2018;2022
2026,Spain,ESP,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Switzerland,SUI,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Austria,AUT,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Scotland,SCO,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Panama,PAN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Curaçao,CUW,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Haiti,HAI,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Bosnia and Herzegovina,BIH,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,DR Congo,COD,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Czech Republic,CZE,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Iraq,IRQ,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Sweden,SWE,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
2026,Turkey,TUR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022
