year,team_name,team_code,performance,ccs,ccs_source_years,prior_windows,source,evaluable
2006,Angola,AGO,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Argentina,ARG,quarter-finals,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Australia,AUS,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Brazil,BRA,quarter-finals,1,1998;2002,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Costa Rica,CRI,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Croatia,HRV,group stage,1,1998,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Czech Republic,CZE,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Ecuador,ECU,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,England,ENG,quarter-finals,1,2002,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,France,FRA,final,1,1998,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Germany,DEU,third-place match,1,2002,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Ghana,GHA,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Iran,IRN,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Italy,ITA,final,1,1998,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Ivory Coast,CIV,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Japan,JPN,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Mexico,MEX,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Netherlands,NLD,round of 16,1,1998,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Paraguay,PRY,group stage,1,1998;2002,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Poland,POL,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Portugal,PRT,third-place match,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Saudi Arabia,SAU,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Serbia and Montenegro,SCG,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,South Korea,KOR,group stage,1,2002,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Spain,ESP,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Sweden,SWE,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Switzerland,CHE,round of 16,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Togo,TGO,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Trinidad and Tobago,TTO,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Tunisia,TUN,group stage,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,Ukraine,UKR,quarter-finals,0,,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2006,USA,USA,group stage,1,2002,1998;2002,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Algeria,DZA,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Argentina,ARG,quarter-finals,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Australia,AUS,group stage,1,2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Brazil,BRA,quarter-finals,1,2002;2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Cameroon,CMR,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Chile,CHL,round of 16,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Denmark,DNK,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,England,ENG,round of 16,1,2002,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,France,FRA,group stage,1,2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Germany,DEU,third-place match,1,2002;2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Ghana,GHA,quarter-finals,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Greece,GRC,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Honduras,HND,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Italy,ITA,group stage,1,2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Ivory Coast,CIV,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Japan,JPN,round of 16,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Mexico,MEX,round of 16,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Netherlands,NLD,final,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,New Zealand,NZL,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Nigeria,NGA,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,North Korea,PRK,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Paraguay,PRY,quarter-finals,1,2002,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Portugal,PRT,round of 16,1,2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Serbia,SRB,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Slovakia,SVK,round of 16,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Slovenia,SVN,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,South Africa,ZAF,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,South Korea,KOR,round of 16,1,2002,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Spain,ESP,final,1,2006,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Switzerland,CHE,group stage,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,USA,USA,round of 16,1,2002,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2010,Uruguay,URY,third-place match,0,,2002;2006,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Algeria,DZA,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Argentina,ARG,final,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Australia,AUS,group stage,1,2006,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Belgium,BEL,quarter-finals,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Bosnia and Herzegovina,BIH,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Brazil,BRA,third-place match,1,2006;2010,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Cameroon,CMR,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Chile,CHL,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Colombia,COL,quarter-finals,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Costa Rica,CRI,quarter-finals,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Croatia,HRV,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Ecuador,ECU,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,England,ENG,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,France,FRA,quarter-finals,1,2006,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Germany,DEU,final,1,2006;2010,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Ghana,GHA,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Greece,GRC,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Honduras,HND,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Iran,IRN,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Italy,ITA,group stage,1,2006,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Ivory Coast,CIV,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Japan,JPN,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Mexico,MEX,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Netherlands,NLD,third-place match,1,2010,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Nigeria,NGA,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Portugal,PRT,group stage,1,2006;2010,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Russia,RUS,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,South Korea,KOR,group stage,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Spain,ESP,group stage,1,2006;2010,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Switzerland,CHE,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,USA,USA,round of 16,0,,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2014,Uruguay,URY,round of 16,1,2010,2006;2010,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Argentina,ARG,round of 16,1,2014,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Australia,AUS,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Belgium,BEL,third-place match,1,2014,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Brazil,BRA,quarter-finals,1,2010;2014,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Colombia,COL,round of 16,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Costa Rica,CRI,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Croatia,HRV,final,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Denmark,DNK,round of 16,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Egypt,EGY,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,England,ENG,third-place match,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,France,FRA,final,1,2014,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Germany,DEU,group stage,1,2010;2014,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Iceland,ISL,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Iran,IRN,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Japan,JPN,round of 16,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Mexico,MEX,round of 16,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Morocco,MAR,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Nigeria,NGA,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Panama,PAN,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Peru,PER,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Poland,POL,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Portugal,PRT,round of 16,1,2010,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Russia,RUS,quarter-finals,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Saudi Arabia,SAU,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Senegal,SEN,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Serbia,SRB,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,South Korea,KOR,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Spain,ESP,round of 16,1,2010,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Sweden,SWE,quarter-finals,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Switzerland,CHE,round of 16,1,2014,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Tunisia,TUN,group stage,0,,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2018,Uruguay,URY,quarter-finals,1,2010,2010;2014,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Argentina,ARG,final,1,2014;2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Australia,AUS,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Belgium,BEL,group stage,1,2014;2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Brazil,BRA,quarter-finals,1,2014,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Cameroon,CMR,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Canada,CAN,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Costa Rica,CRI,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Croatia,HRV,third-place match,1,2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Denmark,DNK,group stage,1,2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Ecuador,ECU,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,England,ENG,quarter-finals,1,2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,France,FRA,final,1,2014;2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Germany,DEU,group stage,1,2014,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Ghana,GHA,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Iran,IRN,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Japan,JPN,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Mexico,MEX,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Morocco,MAR,third-place match,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Netherlands,NLD,quarter-finals,1,2014,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Poland,POL,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Portugal,PRT,quarter-finals,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Qatar,QAT,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Saudi Arabia,SAU,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Senegal,SEN,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Serbia,SRB,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,South Korea,KOR,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Spain,ESP,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Switzerland,CHE,round of 16,1,2014,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Tunisia,TUN,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,USA,USA,round of 16,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Uruguay,URY,group stage,1,2018,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
2022,Wales,WAL,group stage,0,,2014;2018,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
