scope,threshold,label_en,label_zh,champion_hits,champions_considered,coverage,avg_pool_size,avg_candidate_share,missed_champions
all_1994_2022,1,CCS and FIFA top 1,CCS 且 FIFA 前 1,0,8,0.0,1.0,0.03255208333333333,1994 Brazil;1998 France;2002 Brazil;2006 Italy;2010 Spain;2014 Germany;2018 France;2022 Argentina
all_1994_2022,2,CCS and FIFA top 2,CCS 且 FIFA 前 2,3,8,0.375,1.875,0.061197916666666664,1994 Brazil;1998 France;2006 Italy;2018 France;2022 Argentina
all_1994_2022,3,CCS and FIFA top 3,CCS 且 FIFA 前 3,5,8,0.625,2.625,0.0859375,1998 France;2006 Italy;2018 France
all_1994_2022,4,CCS and FIFA top 4,CCS 且 FIFA 前 4,5,8,0.625,3.125,0.10286458333333333,1998 France;2006 Italy;2018 France
all_1994_2022,5,CCS and FIFA top 5,CCS 且 FIFA 前 5,5,8,0.625,3.75,0.12239583333333333,1998 France;2006 Italy;2018 France
all_1994_2022,6,CCS and FIFA top 6,CCS 且 FIFA 前 6,5,8,0.625,4.25,0.13802083333333331,1998 France;2006 Italy;2018 France
all_1994_2022,7,CCS and FIFA top 7,CCS 且 FIFA 前 7,6,8,0.75,4.5,0.14583333333333331,1998 France;2006 Italy
all_1994_2022,8,CCS and FIFA top 8,CCS 且 FIFA 前 8,6,8,0.75,5.25,0.17057291666666669,1998 France;2006 Italy
all_1994_2022,9,CCS and FIFA top 9,CCS 且 FIFA 前 9,6,8,0.75,5.5,0.17838541666666669,1998 France;2006 Italy
all_1994_2022,10,CCS and FIFA top 10,CCS 且 FIFA 前 10,6,8,0.75,5.875,0.19010416666666669,1998 France;2006 Italy
all_1994_2022,11,CCS and FIFA top 11,CCS 且 FIFA 前 11,6,8,0.75,6.125,0.19791666666666669,1998 France;2006 Italy
all_1994_2022,12,CCS and FIFA top 12,CCS 且 FIFA 前 12,6,8,0.75,6.25,0.20182291666666669,1998 France;2006 Italy
all_1994_2022,13,CCS and FIFA top 13,CCS 且 FIFA 前 13,7,8,0.875,6.5,0.20963541666666669,1998 France
all_1994_2022,14,CCS and FIFA top 14,CCS 且 FIFA 前 14,7,8,0.875,7.0,0.22526041666666669,1998 France
all_1994_2022,15,CCS and FIFA top 15,CCS 且 FIFA 前 15,7,8,0.875,7.375,0.23697916666666669,1998 France
all_1994_2022,16,CCS and FIFA top 16,CCS 且 FIFA 前 16,7,8,0.875,7.5,0.2421875,1998 France
all_1994_2022,17,CCS and FIFA top 17,CCS 且 FIFA 前 17,7,8,0.875,7.625,0.24609375,1998 France
all_1994_2022,18,CCS and FIFA top 18,CCS 且 FIFA 前 18,7,8,0.875,7.75,0.25,1998 France
all_1994_2022,19,CCS and FIFA top 19,CCS 且 FIFA 前 19,7,8,0.875,8.0,0.2578125,1998 France
all_1994_2022,20,CCS and FIFA top 20,CCS 且 FIFA 前 20,7,8,0.875,8.25,0.265625,1998 France
all_1994_2022,21,CCS and FIFA top 21,CCS 且 FIFA 前 21,7,8,0.875,8.375,0.26953125,1998 France
all_1994_2022,22,CCS and FIFA top 22,CCS 且 FIFA 前 22,7,8,0.875,8.375,0.26953125,1998 France
all_1994_2022,23,CCS and FIFA top 23,CCS 且 FIFA 前 23,7,8,0.875,8.5,0.2734375,1998 France
all_1994_2022,24,CCS and FIFA top 24,CCS 且 FIFA 前 24,7,8,0.875,8.5,0.2734375,1998 France
all_1994_2022,25,CCS and FIFA top 25,CCS 且 FIFA 前 25,7,8,0.875,8.625,0.27734375,1998 France
evaluable_ex_france_1998,1,CCS and FIFA top 1,CCS 且 FIFA 前 1,0,7,0.0,1.0,0.03273809523809524,1994 Brazil;2002 Brazil;2006 Italy;2010 Spain;2014 Germany;2018 France;2022 Argentina
evaluable_ex_france_1998,2,CCS and FIFA top 2,CCS 且 FIFA 前 2,3,7,0.42857142857142855,1.8571428571428572,0.06101190476190476,1994 Brazil;2006 Italy;2018 France;2022 Argentina
evaluable_ex_france_1998,3,CCS and FIFA top 3,CCS 且 FIFA 前 3,5,7,0.7142857142857143,2.7142857142857144,0.08928571428571429,2006 Italy;2018 France
evaluable_ex_france_1998,4,CCS and FIFA top 4,CCS 且 FIFA 前 4,5,7,0.7142857142857143,3.2857142857142856,0.10863095238095237,2006 Italy;2018 France
evaluable_ex_france_1998,5,CCS and FIFA top 5,CCS 且 FIFA 前 5,5,7,0.7142857142857143,3.857142857142857,0.12648809523809523,2006 Italy;2018 France
evaluable_ex_france_1998,6,CCS and FIFA top 6,CCS 且 FIFA 前 6,5,7,0.7142857142857143,4.285714285714286,0.13988095238095238,2006 Italy;2018 France
evaluable_ex_france_1998,7,CCS and FIFA top 7,CCS 且 FIFA 前 7,6,7,0.8571428571428571,4.571428571428571,0.14880952380952378,2006 Italy
evaluable_ex_france_1998,8,CCS and FIFA top 8,CCS 且 FIFA 前 8,6,7,0.8571428571428571,5.285714285714286,0.17261904761904764,2006 Italy
evaluable_ex_france_1998,9,CCS and FIFA top 9,CCS 且 FIFA 前 9,6,7,0.8571428571428571,5.571428571428571,0.18154761904761907,2006 Italy
evaluable_ex_france_1998,10,CCS and FIFA top 10,CCS 且 FIFA 前 10,6,7,0.8571428571428571,6.0,0.19494047619047622,2006 Italy
evaluable_ex_france_1998,11,CCS and FIFA top 11,CCS 且 FIFA 前 11,6,7,0.8571428571428571,6.142857142857143,0.19940476190476192,2006 Italy
evaluable_ex_france_1998,12,CCS and FIFA top 12,CCS 且 FIFA 前 12,6,7,0.8571428571428571,6.285714285714286,0.20386904761904764,2006 Italy
evaluable_ex_france_1998,13,CCS and FIFA top 13,CCS 且 FIFA 前 13,7,7,1.0,6.571428571428571,0.21279761904761907,
evaluable_ex_france_1998,14,CCS and FIFA top 14,CCS 且 FIFA 前 14,7,7,1.0,7.0,0.22619047619047622,
evaluable_ex_france_1998,15,CCS and FIFA top 15,CCS 且 FIFA 前 15,7,7,1.0,7.285714285714286,0.23511904761904764,
evaluable_ex_france_1998,16,CCS and FIFA top 16,CCS 且 FIFA 前 16,7,7,1.0,7.428571428571429,0.24107142857142858,
evaluable_ex_france_1998,17,CCS and FIFA top 17,CCS 且 FIFA 前 17,7,7,1.0,7.571428571428571,0.24553571428571427,
evaluable_ex_france_1998,18,CCS and FIFA top 18,CCS 且 FIFA 前 18,7,7,1.0,7.714285714285714,0.25,
evaluable_ex_france_1998,19,CCS and FIFA top 19,CCS 且 FIFA 前 19,7,7,1.0,8.0,0.25892857142857145,
evaluable_ex_france_1998,20,CCS and FIFA top 20,CCS 且 FIFA 前 20,7,7,1.0,8.285714285714286,0.26785714285714285,
evaluable_ex_france_1998,21,CCS and FIFA top 21,CCS 且 FIFA 前 21,7,7,1.0,8.428571428571429,0.27232142857142855,
evaluable_ex_france_1998,22,CCS and FIFA top 22,CCS 且 FIFA 前 22,7,7,1.0,8.428571428571429,0.27232142857142855,
evaluable_ex_france_1998,23,CCS and FIFA top 23,CCS 且 FIFA 前 23,7,7,1.0,8.571428571428571,0.2767857142857143,
evaluable_ex_france_1998,24,CCS and FIFA top 24,CCS 且 FIFA 前 24,7,7,1.0,8.571428571428571,0.2767857142857143,
evaluable_ex_france_1998,25,CCS and FIFA top 25,CCS 且 FIFA 前 25,7,7,1.0,8.571428571428571,0.2767857142857143,
